N	Z	A	El	Mass Excess	Binding Energy	Decay Channel
119	89	208	Ac	10753.235	7684.865	alpha
118	90	208	Th	16683.73	7652.592	alpha
130	79	209	Au	-2540	7788	Bminus
129	80	209	Hg	-8644	7813	Bminus
128	81	209	Tl	-13644.757	7833.397	Bminus
127	82	209	Pb	-17614.646	7848.648	Bminus
126	83	209	Bi	-18258.662	7847.987	Stable
125	84	209	Po	-16366.092	7835.188	alpha
124	85	209	At	-12882.613	7814.777	Bplus
123	86	209	Rn	-8941.049	7792.175	Bplus
122	87	209	Fr	-3769.572	7763.688	alpha
121	88	209	Ra	1858.219	7733.017	alpha
120	89	209	Ac	8843.809	7695.85	alpha
119	90	209	Th	16367	7656	alpha
131	79	210	Au	2329	7766	Bminus
130	80	210	Hg	-5365	7799	Bminus
129	81	210	Tl	-9246.969	7813.588	Bminus
128	82	210	Pb	-14728.502	7835.965	Bminus
127	83	210	Bi	-14791.979	7832.542	Bminus
126	84	210	Po	-15953.137	7834.346	alpha
125	85	210	At	-11972.177	7811.663	Bplus
124	86	210	Rn	-9604.77	7796.665	alpha
123	87	210	Fr	-3333.205	7763.075	alpha
122	88	210	Ra	442.792	7741.368	alpha
121	89	210	Ac	8789.699	7697.896	Bplus
120	90	210	Th	14059.446	7669.076	Bplus
131	80	211	Hg	-624	7778	Bminus
130	81	211	Tl	-6077.998	7799.791	Bminus
129	82	211	Pb	-10492.948	7817.007	Bminus
128	83	211	Bi	-11859.131	7819.774	alpha
127	84	211	Po	-12432.571	7818.784	alpha
126	85	211	At	-11647.264	7811.354	Bplus
125	86	211	Rn	-8755.404	7793.941	Bplus
124	87	211	Fr	-4140.249	7768.36	alpha
123	88	211	Ra	832.023	7741.087	Bplus
122	89	211	Ac	7202.214	7707.189	alpha
121	90	211	Th	13910.171	7671.69	Bplus
120	91	211	Pa	22080	7629	alpha
132	80	212	Hg	2757	7763	Bminus
131	81	212	Tl	-1551	7780	Bminus
130	82	212	Pb	-7548.85	7804.319	Bminus
129	83	212	Bi	-8117.954	7803.313	Bminus
128	84	212	Po	-10369.487	7810.243	alpha
127	85	212	At	-8628.221	7798.34	alpha
126	86	212	Rn	-8659.608	7794.797	alpha
125	87	212	Fr	-3515.968	7766.845	Bplus
124	88	212	Ra	-198.968	7747.508	alpha
123	89	212	Ac	7277.298	7708.552	alpha
122	90	212	Th	12110.808	7682.062	alpha
121	91	212	Pa	21593.358	7633.643	alpha
133	80	213	Hg	7666	7741	Bminus
132	81	213	Tl	1783.811	7765.43	Bminus
131	82	213	Pb	-3203.532	7785.172	Bminus
130	83	213	Bi	-5231.635	7791.021	Bminus
129	84	213	Po	-6653.584	7794.024	alpha
128	85	213	At	-6579.595	7790.003	alpha
127	86	213	Rn	-5696.026	7782.182	alpha
126	87	213	Fr	-3552.848	7768.447	alpha
125	88	213	Ra	345.557	7746.472	alpha
124	89	213	Ac	6154.692	7715.526	alpha
123	90	213	Th	12120.086	7683.846	alpha
122	91	213	Pa	19662.625	7644.762	alpha
134	80	214	Hg	11178	7727	Bminus
133	81	214	Tl	6465	7745	Bminus
132	82	214	Pb	-182.769	7772.394	Bminus
131	83	214	Bi	-1200.753	7773.495	Bminus
130	84	214	Po	-4470.046	7785.116	alpha
129	85	214	At	-3379.831	7776.366	alpha
128	86	214	Rn	-4319.742	7777.102	alpha
127	87	214	Fr	-958.707	7757.74	alpha
126	88	214	Ra	92.734	7749.171	Bplus
125	89	214	Ac	6443.854	7715.837	alpha
124	90	214	Th	10694.885	7692.317	alpha
123	91	214	Pa	19485.515	7647.583	alpha
135	80	215	Hg	16208	7705	Bminus
134	81	215	Tl	9911	7730	Bminus
133	82	215	Pb	4342.244	7752.737	Bminus
132	83	215	Bi	1629.322	7761.717	Bminus
131	84	215	Po	-541.706	7768.176	alpha
130	85	215	At	-1255.756	7767.858	alpha
129	86	215	Rn	-1168.561	7763.814	alpha
128	87	215	Fr	318.065	7753.26	alpha
127	88	215	Ra	2533.739	7739.316	alpha
126	89	215	Ac	6030.615	7719.413	alpha
125	90	215	Th	10921.586	7693.025	alpha
124	91	215	Pa	17863.939	7657.096	alpha
123	92	215	U 	24923.087	7620.624	Bplus
136	80	216	Hg	19859	7690	Bminus
135	81	216	Tl	14718	7710	Bminus
134	82	216	Pb	7480	7740	Bminus
133	83	216	Bi	5873.991	7743.499	Bminus
132	84	216	Po	1782.42	7758.819	alpha
131	85	216	At	2256.666	7753.002	alpha
130	86	216	Rn	252.868	7758.657	alpha
129	87	216	Fr	2970.95	7742.451	alpha
128	88	216	Ra	3291.077	7737.347	alpha
127	89	216	Ac	8144.395	7711.256	alpha
126	90	216	Th	10298.332	7697.662	alpha
125	91	216	Pa	17799.214	7659.314	alpha
124	92	216	U 	23066.351	7631.307	alpha
136	81	217	Tl	18313	7695	Bminus
135	82	217	Pb	12240	7719	Bminus
134	83	217	Bi	8729.962	7731.848	Bminus
133	84	217	Po	5883.518	7741.36	alpha
132	85	217	At	4394.635	7744.616	alpha
131	86	217	Rn	3658.501	7744.403	alpha
130	87	217	Fr	4314.59	7737.775	alpha
129	88	217	Ra	5889.656	7726.911	alpha
128	89	217	Ac	8703.673	7710.338	alpha
127	90	217	Th	12205.78	7690.594	alpha
126	91	217	Pa	17068.41	7664.58	alpha
125	92	217	U 	22973	7634	alpha
137	81	218	Tl	23180	7674	Bminus
136	82	218	Pb	15453	7706	Bminus
135	83	218	Bi	13216.037	7712.827	Bminus
134	84	218	Po	8356.901	7731.528	alpha
133	85	218	At	8098.162	7729.126	Bminus
132	86	218	Rn	5217.347	7738.752	alpha
131	87	218	Fr	7059.117	7726.715	alpha
130	88	218	Ra	6651.17	7724.998	alpha
129	89	218	Ac	10843.609	7702.177	alpha
128	90	218	Th	12366.741	7691.602	alpha
127	91	218	Pa	18683.77	7659.036	alpha
126	92	218	U 	21894.608	7640.719	alpha
137	82	219	Pb	20279	7686	Bminus
136	83	219	Bi	16283	7700	Bminus
135	84	219	Po	12681.359	7713.333	Bminus
134	85	219	At	10396.076	7720.196	alpha
133	86	219	Rn	8829.402	7723.777	alpha
132	87	219	Fr	8617.767	7721.171	alpha
131	88	219	Ra	9394.282	7714.053	alpha
130	89	219	Ac	11569.48	7700.549	alpha
129	90	219	Th	14471.39	7683.725	alpha
128	91	219	Pa	18540.131	7661.574	alpha
127	92	219	U 	23286.569	7636.329	alpha
126	93	219	Np	29456.655	7604.583	Bplus
138	82	220	Pb	23669	7672	Bminus
137	83	220	Bi	20819	7682	Bminus
136	84	220	Po	15263.461	7703.224	Bminus
135	85	220	At	14375.747	7703.703	Bminus
134	86	220	Rn	10612.077	7717.254	alpha
133	87	220	Fr	11482.32	7709.742	alpha
132	88	220	Ra	10270.245	7711.696	alpha
131	89	220	Ac	13743.682	7692.351	alpha
130	90	220	Th	14669.1	7684.589	alpha
