N	Z	A	El	Mass Excess	Binding Energy	Decay Channel
1	0	1	n 	8071.31713	0	Bminus
0	1	1	H 	7288.97061	0	Stable
1	1	2	H 	13135.72176	1112.283	Stable
2	1	3	H 	14949.80993	2827.265	Bminus
1	2	3	He	14931.21793	2572.68	Stable
0	3	3	Li	28667	-2267	P
3	1	4	H 	24621.127	1720.449	N
2	2	4	He	2424.91561	7073.915	Stable
1	3	4	Li	25323.189	1153.76	P
4	1	5	H 	32892.444	1336.359	N
3	2	5	He	11231.233	5512.132	N
2	3	5	Li	11678.886	5266.132	alpha
1	4	5	Be	37139	18	P
5	1	6	H 	41875.721	961.639	N
4	2	6	He	17592.095	4878.519	Bminus
3	3	6	Li	14086.87895	5332.331	Stable
2	4	6	Be	18375.033	4487.247	alpha
1	5	6	B 	47320	-467	P
6	1	7	H 	49135	940	N
5	2	7	He	26073.126	4123.057	N
4	3	7	Li	14907.10529	5606.439	Stable
3	4	7	Be	15768.999	5371.548	Bplus
2	5	7	B 	27676.55	3558.705	P
6	2	8	He	31609.681	3924.52	Bminus
5	3	8	Li	20945.804	5159.712	alpha
4	4	8	Be	4941.671	7062.435	alpha
3	5	8	B 	22921.567	4717.155	alpha
2	6	8	C 	35064.268	3101.524	P
7	2	9	He	40935.826	3349.037	N
6	3	9	Li	24954.902	5037.768	Bminus
5	4	9	Be	11348.453	6462.668	Stable
4	5	9	B 	12416.488	6257.07	alpha
3	6	9	C 	28910.972	4337.423	Bplus
8	2	10	He	49197.143	2995.134	N
7	3	10	Li	33052.624	4531.351	N
6	4	10	Be	12607.488	6497.63	Bminus
5	5	10	B 	12050.609	6475.083	Stable
4	6	10	C 	15698.672	6032.042	Bplus
3	7	10	N 	38800.026	3643.672	P
8	3	11	Li	40728.254	4155.381	Bminus
7	4	11	Be	20177.167	5952.54	Bminus
6	5	11	B 	8667.707	6927.732	Stable
5	6	11	C 	10649.396	6676.456	Bplus
4	7	11	N 	24303.559	5364.046	P
9	3	12	Li	49009.571	3791.6	N
8	4	12	Be	25077.76	5720.722	Bminus
7	5	12	B 	13369.397	6631.223	Bminus
6	6	12	C 	0	7680.144	Stable
5	7	12	N 	17338.068	6170.109	Bplus
4	8	12	O 	31914.613	4890.202	P
10	3	13	Li	56980.888	3507.63	x
9	4	13	Be	33659.077	5241.435	N
8	5	13	B 	16561.947	6496.419	Bminus
7	6	13	C 	3125.00888	7469.849	Stable
6	7	13	N 	5345.481	7238.863	Bplus
5	8	13	O 	23115.432	5811.763	Bplus
10	4	14	Be	39954.498	4993.897	Bminus
9	5	14	B 	23663.685	6101.644	Bminus
8	6	14	C 	3019.89278	7520.319	Bminus
7	7	14	N 	2863.41672	7475.614	Stable
6	8	14	O 	8007.781	7052.278	Bplus
5	9	14	F 	31964.402	5285.208	P
11	4	15	Be	49825.815	4540.97	N
10	5	15	B 	28958.242	5879.985	Bminus
9	6	15	C 	9873.144	7100.169	Bminus
8	7	15	N 	101.43871	7699.46	Stable
7	8	15	O 	2855.605	7463.692	Bplus
6	9	15	F 	16566.751	6497.459	P
5	10	15	Ne	40215.373	4868.728	xx
12	4	16	Be	57447.132	4285.285	N
11	5	16	B 	37112.51	5507.302	N
10	6	16	C 	13694.132	6922.054	Bminus
9	7	16	N 	5683.907	7373.796	Bminus
8	8	16	O 	-4737.00135	7976.206	Stable
7	9	16	F 	10680.253	6963.731	P
6	10	16	Ne	23986.776	6083.177	P
12	5	17	B 	43716.317	5269.667	Bminus
11	6	17	C 	21031.898	6558.024	Bminus
10	7	17	N 	7870.079	7286.229	Bminus
9	8	17	O 	-808.76348	7750.728	Stable
8	9	17	F 	1951.702	7542.328	Bplus
7	10	17	Ne	16500.447	6640.499	Bplus
6	11	17	Na	35173.214	5496.08	xx
13	5	18	B 	51792.634	4976.63	N
12	6	18	C 	24919.264	6426.131	Bminus
11	7	18	N 	13113.168	7038.562	Bminus
10	8	18	O 	-782.8156	7767.097	Stable
9	9	18	F 	873.113	7631.638	Bplus
8	10	18	Ne	5317.614	7341.257	Bplus
7	11	18	Na	25037.988	6202.217	P
14	5	19	B 	59770.244	4719.634	Bminus
13	6	19	C 	32413.752	6118.273	Bminus
12	7	19	N 	15856.282	6948.543	Bminus
11	8	19	O 	3332.858	7566.495	Bminus
10	9	19	F 	-1487.4442	7779.018	Stable
9	10	19	Ne	1752.05	7567.343	Bplus
8	11	19	Na	12929.39	6937.885	P
7	12	19	Mg	31828.389	5902.025	P
15	5	20	B 	68450	4453	x
14	6	20	C 	37503.563	5961.435	Bminus
13	7	20	N 	21766.496	6709.171	Bminus
12	8	20	O 	3796.172	7568.57	Bminus
11	9	20	F 	-17.463	7720.134	Bminus
10	10	20	Ne	-7041.93055	8032.24	Stable
9	11	20	Na	6850.604	7298.496	Bplus
8	12	20	Mg	17477.692	6728.025	Bplus
16	5	21	B 	77330	4203	x
15	6	21	C 	45643	5674	N
14	7	21	N 	25231.913	6609.015	Bminus
13	8	21	O 	8062.035	7389.374	Bminus
12	9	21	F 	-47.605	7738.293	Bminus
11	10	21	Ne	-5731.776	7971.713	Stable
10	11	21	Na	-2184.631	7765.547	Bplus
9	12	21	Mg	10903.85	7105.031	Bplus
8	13	21	Al	26990	6302	P
16	6	22	C 	53611.197	5421.077	Bminus
15	7	22	N 	31764.801	6378.534	Bminus
14	8	22	O 	9283.033	7364.871	Bminus
13	9	22	F 	2793.373	7624.295	Bminus
12	10	22	Ne	-8024.719	8080.465	Stable
11	11	22	Na	-5181.511	7915.667	Bplus
10	12	22	Mg	-399.933	7662.761	Bplus
9	13	22	Al	18201	6782	Bplus
8	14	22	Si	33338	6058	Bplus
17	6	23	C 	64171	5077	x
16	7	23	N 	36720.425	6236.671	Bminus
15	8	23	O 	14621.369	7163.485	Bminus
14	9	23	F 	3285.263	7622.344	Bminus
13	10	23	Ne	-5154.049	7955.256	Bminus
12	11	23	Na	-9529.85248	8111.493	Stable
11	12	23	Mg	-5473.513	7901.115	Bplus
10	13	23	Al	6748.07	7335.727	Bplus
9	14	23	Si	23697	6565	Bplus
17	7	24	N 	46938	5887	N
16	8	24	O 	18500.402	7039.685	Bminus
15	9	24	F 	7544.515	7463.582	Bminus
14	10	24	Ne	-5951.646	7993.325	Bminus
13	11	24	Na	-8417.901	8063.488	Bminus
12	12	24	Mg	-13933.569	8260.709	Stable
11	13	24	Al	-48.865	7649.582	Bplus
10	14	24	Si	10745.195	7167.232	Bplus
9	15	24	P 	33320	6194	P
18	7	25	N 	55983	5613	x
17	8	25	O 	27329.027	6727.805	N
16	9	25	F 	11334.166	7336.306	Bminus
15	10	25	Ne	-2035.502	7839.799	Bminus
14	11	25	Na	-9357.813	8101.397	Bminus
13	12	25	Mg	-13192.783	8223.502	Stable
12	13	25	Al	-8915.975	8021.136	Bplus
11	14	25	Si	3827.324	7480.11	Bplus
10	15	25	P 	19738	6812	P
18	8	26	O 	34661.037	6497.478	N
17	9	26	F 	18648.875	7083.24	Bminus
16	10	26	Ne	481.114	7751.91	Bminus
15	11	26	Na	-6860.78	8004.201	Bminus
14	12	26	Mg	-16214.542	8333.87	Stable
13	13	26	Al	-12210.151	8149.765	Bplus
12	14	26	Si	-7141.015	7924.708	Bplus
11	15	26	P 	10973	7198	Bplus
10	16	26	S 	27079	6548	P
19	8	27	O 	44670	6185	N
18	9	27	F 	25450.279	6867.932	Bminus
17	10	27	Ne	7050.909	7520.414	Bminus
16	11	27	Na	-5517.79	7956.946	Bminus
15	12	27	Mg	-14586.611	8263.852	Bminus
14	13	27	Al	-17196.861	8331.553	Stable
13	14	27	Si	-12384.503	8124.341	Bplus
12	15	27	P 	-722.458	7663.438	Bplus
11	16	27	S 	17028	6977	Bplus
20	8	28	O 	52080	5988	N
19	9	28	F 	33741.596	6614.792	N
18	10	28	Ne	11299.737	7388.346	Bminus
17	11	28	Na	-988.315	7799.264	Bminus
16	12	28	Mg	-15018.845	8272.413	Bminus
15	13	28	Al	-16850.645	8309.894	Bminus
14	14	28	Si	-21492.7943	8447.744	Stable
13	15	28	P 	-7147.74	7907.479	Bplus
12	16	28	S 	4073.206	7478.79	Bplus
11	17	28	Cl	27516	6614	P
20	9	29	F 	40150.186	6444.031	Bminus
19	10	29	Ne	18399.801	7167.067	Bminus
18	11	29	Na	2679.994	7682.151	Bminus
17	12	29	Mg	-10602.829	8113.202	Bminus
16	13	29	Al	-18207.76	8348.464	Bminus
15	14	29	Si	-21895.07838	8448.635	Stable
14	15	29	P 	-16952.848	8251.236	Bplus
13	16	29	S 	-3156.416	7748.52	Bplus
12	17	29	Cl	13162.176	7158.832	P
21	9	30	F 	48112	6233	N
20	10	30	Ne	23280.117	7034.531	Bminus
19	11	30	Na	8474.67	7501.968	Bminus
18	12	30	Mg	-8883.82	8054.506	Bminus
17	13	30	Al	-15864.844	8261.128	Bminus
16	14	30	Si	-24432.96	8520.654	Stable
15	15	30	P 	-20200.854	8353.506	Bplus
14	16	30	S 	-14059.253	8122.707	Bplus
13	17	30	Cl	4443	7480	P
12	18	30	Ar	20931.147	6904.204	P
22	9	31	F 	56143	6033	Bminus
21	10	31	Ne	31181.591	6813.09	Bminus
20	11	31	Na	12246.031	7398.677	Bminus
19	12	31	Mg	-3122.151	7869.188	Bminus
18	13	31	Al	-14950.706	8225.517	Bminus
17	14	31	Si	-22949.036	8458.291	Bminus
16	15	31	P 	-24440.54095	8481.167	Stable
15	16	31	S 	-19042.525	8281.8	Bplus
14	17	31	Cl	-7034.551	7869.209	Bplus
13	18	31	Ar	11325	7252	Bplus
22	10	32	Ne	36999	6671	Bminus
21	11	32	Na	18640.151	7219.881	Bminus
20	12	32	Mg	-828.9	7803.84	Bminus
19	13	32	Al	-11099.367	8100.344	Bminus
18	14	32	Si	-24077.686	8481.468	Bminus
17	15	32	P 	-24304.874	8464.12	Bminus
16	16	32	S 	-26015.53355	8493.129	Stable
15	17	32	Cl	-13334.674	8072.404	Bplus
14	18	32	Ar	-2200.351	7700.008	Bplus
13	19	32	K 	21098	6947	P
23	10	33	Ne	45997	6440	N
22	11	33	Na	23780.11	7089.926	Bminus
21	12	33	Mg	4962.297	7636.455	Bminus
20	13	33	Al	-8497.38	8020.616	Bminus
19	14	33	Si	-20514.325	8361.059	Bminus
18	15	33	P 	-26337.346	8513.806	Bminus
17	16	33	S 	-26585.85434	8497.63	Stable
16	17	33	Cl	-21003.337	8304.755	Bplus
15	18	33	Ar	-9384.292	7928.955	Bplus
14	19	33	K 	7042	7407	P
24	10	34	Ne	52842	6287	Bminus
23	11	34	Na	31680.111	6886.437	Bminus
22	12	34	Mg	8323.348	7550.39	Bminus
21	13	34	Al	-3000.289	7860.428	Bminus
20	14	34	Si	-19956.852	8336.141	Bminus
19	15	34	P 	-24548.698	8448.185	Bminus
18	16	34	S 	-29931.685	8583.498	Stable
17	17	34	Cl	-24440.082	8398.97	Bplus
16	18	34	Ar	-18378.29	8197.672	Bplus
15	19	34	K 	-1220	7670	P
14	20	34	Ca	13851	7204	P
24	11	35	Na	38231	6733	Bminus
23	12	35	Mg	15639.784	7356.233	Bminus
22	13	35	Al	-223.728	7787.124	Bminus
21	14	35	Si	-14391.457	8169.563	Bminus
20	15	35	P 	-24857.799	8446.249	Bminus
19	16	35	S 	-28846.206	8537.85	Bminus
18	17	35	Cl	-29013.528	8520.278	Stable
17	18	35	Ar	-23047.284	8327.461	Bplus
16	19	35	K 	-11172.891	7965.84	Bplus
15	20	35	Ca	4788	7487	Bplus
25	11	36	Na	46303	6546	N
24	12	36	Mg	20380.157	7244.419	Bminus
23	13	36	Al	5950.384	7623.515	Bminus
22	14	36	Si	-12436.124	8112.519	Bminus
21	15	36	P 	-20251.034	8307.868	Bminus
20	16	36	S 	-30664.131	8575.389	Stable
19	17	36	Cl	-29522.005	8521.931	Bminus
18	18	36	Ar	-30231.54	8519.909	Stable
17	19	36	K 	-17417.065	8142.219	Bplus
16	20	36	Ca	-6451.149	7815.879	Bplus
15	21	36	Sc	15351	7189	P
26	11	37	Na	53534	6392	Bminus
25	12	37	Mg	28211.474	7055.111	Bminus
24	13	37	Al	9809.563	7531.315	Bminus
23	14	37	Si	-6571.511	7952.903	Bminus
22	15	37	P 	-18995.998	8267.555	Bminus
21	16	37	S 	-26896.417	8459.935	Bminus
20	17	37	Cl	-31761.538	8570.281	Stable
19	18	37	Ar	-30947.664	8527.139	Bplus
18	19	37	K 	-24800.199	8339.847	Bplus
17	20	37	Ca	-13136.066	8003.456	Bplus
16	21	37	Sc	3520	7532	P
26	12	38	Mg	34074	6928	Bminus
25	13	38	Al	16209.859	7377.097	Bminus
24	14	38	Si	-4170.299	7892.829	Bminus
23	15	38	P 	-14621.563	8147.274	Bminus
22	16	38	S 	-26861.203	8448.782	Bminus
21	17	38	Cl	-29798.103	8505.481	Bminus
20	18	38	Ar	-34714.821	8614.28	Stable
19	19	38	K 	-28800.755	8438.058	Bplus
18	20	38	Ca	-22058.499	8240.043	Bplus
17	21	38	Sc	-4249	7751	P
16	22	38	Ti	10870	7332	x
27	12	39	Mg	42275	6747	N
26	13	39	Al	20650	7281	Bminus
25	14	39	Si	2320.352	7730.979	Bminus
24	15	39	P 	-12774.634	8097.969	Bminus
23	16	39	S 	-23162.667	8344.269	Bminus
22	17	39	Cl	-29800.205	8494.402	Bminus
21	18	39	Ar	-33242.19	8562.598	Bminus
20	19	39	K 	-33807.1901	8557.025	Stable
19	20	39	Ca	-27282.702	8369.67	Bplus
18	21	39	Sc	-14172.709	8013.456	P
17	22	39	Ti	2200	7574	Bplus
28	12	40	Mg	48350	6628	Bminus
27	13	40	Al	27590	7127	Bminus
26	14	40	Si	5429.679	7661.754	Bminus
25	15	40	P 	-8114.37	7980.796	Bminus
24	16	40	S 	-22837.846	8329.325	Bminus
23	17	40	Cl	-27557.813	8427.765	Bminus
22	18	40	Ar	-35039.89464	8595.259	Stable
21	19	40	K 	-33535.492	8538.09	Stable
20	20	40	Ca	-34846.384	8551.303	Stable
19	21	40	Sc	-20523.335	8173.669	Bplus
18	22	40	Ti	-8850.384	7862.286	Bplus
17	23	40	V 	12170	7317	P
28	13	41	Al	33420	7008	Bminus
27	14	41	Si	12119.668	7508.573	Bminus
26	15	41	P 	-4979.767	7906.551	Bminus
25	16	41	S 	-19008.577	8229.635	Bminus
24	17	41	Cl	-27307.189	8412.959	Bminus
23	18	41	Ar	-33067.505	8534.372	Bminus
22	19	41	K 	-35559.54331	8576.072	Stable
21	20	41	Ca	-35137.89	8546.706	Stable
20	21	41	Sc	-28642.412	8369.198	Bplus
19	22	41	Ti	-15697.537	8034.388	Bplus
18	23	41	V 	320	7625	P
29	13	42	Al	40100	6874	Bminus
28	14	42	Si	16470	7418	Bminus
27	15	42	P 	1009.74	7767.866	Bminus
26	16	42	S 	-17637.746	8193.227	Bminus
25	17	42	Cl	-24831.767	8345.886	Bminus
24	18	42	Ar	-34422.675	8555.613	Bminus
23	19	42	K 	-35022.026	8551.256	Bminus
22	20	42	Ca	-38547.245	8616.563	Stable
21	21	42	Sc	-32121.153	8444.933	Bplus
20	22	42	Ti	-25104.674	8259.247	Bplus
19	23	42	V 	-7620	7824	P
18	24	42	Cr	6730	7464	Bplus
30	13	43	Al	47020	6741	Bminus
29	14	43	Si	23101	7279	Bminus
28	15	43	P 	4679.826	7689.572	N
27	16	43	S 	-12195.459	8063.827	Bminus
26	17	43	Cl	-24159.508	8323.866	Bminus
25	18	43	Ar	-32009.808	8488.237	Bminus
24	19	43	K 	-36575.389	8576.22	Bminus
23	20	43	Ca	-38408.822	8600.663	Stable
22	21	43	Sc	-36188.102	8530.825	Bplus
21	22	43	Ti	-29321.082	8352.932	Bplus
20	23	43	V 	-17916.356	8069.512	Bplus
19	24	43	Cr	-1970	7680	Bplus
30	14	44	Si	28513	7174	Bminus
29	15	44	P 	10450	7567	Bminus
28	16	44	S 	-9204.233	7996.015	Bminus
27	17	44	Cl	-20384.523	8232.332	Bminus
26	18	44	Ar	-32673.255	8493.84	Bminus
25	19	44	K 	-35781.492	8546.701	Bminus
24	20	44	Ca	-41468.675	8658.175	Stable
23	21	44	Sc	-37815.985	8557.379	Bplus
22	22	44	Ti	-37548.569	8533.52	Bplus
21	23	44	V 	-24116.38	8210.463	Bplus
20	24	44	Cr	-13360	7948	Bplus
19	25	44	Mn	7030	7467	P
31	14	45	Si	37490	6995	xx
30	15	45	P 	15600	7464	Bminus
29	16	45	S 	-3989.589	7881.807	Bminus
28	17	45	Cl	-18262.543	8181.598	Bminus
27	18	45	Ar	-29770.796	8419.952	Bminus
26	19	45	K 	-36615.638	8554.674	Bminus
25	20	45	Ca	-40812.174	8630.545	Bminus
24	21	45	Sc	-41071.896	8618.931	Stable
23	22	45	Ti	-39009.84	8555.722	Bplus
22	23	45	V 	-31886.016	8380.029	Bplus
21	24	45	Cr	-19514.799	8087.728	Bplus
20	25	45	Mn	-5250	7753	x
19	26	45	Fe	13762	7313	P
31	15	46	P 	22970	7317	Bminus
30	16	46	S 	340	7792	Bminus
29	17	46	Cl	-13859.398	8083.48	Bminus
28	18	46	Ar	-29772.926	8412.419	Bminus
27	19	46	K 	-35413.924	8518.042	Bminus
26	20	46	Ca	-43139.361	8668.979	Stable
25	21	46	Sc	-41761.219	8622.012	Bminus
24	22	46	Ti	-44127.799	8656.451	Stable
23	23	46	V 	-37075.351	8486.13	Bplus
22	24	46	Cr	-29471.567	8303.823	Bplus
21	25	46	Mn	-12570	7919	Bplus
20	26	46	Fe	910	7609	Bplus
32	15	47	P 	29710	7190	xx
31	16	47	S 	7370	7648	Bminus
30	17	47	Cl	-9780	7996	Bminus
29	18	47	Ar	-25366.338	8311.404	Bminus
28	19	47	K 	-35711.976	8514.879	Bminus
27	20	47	Ca	-42344.418	8639.349	Bminus
26	21	47	Sc	-44336.595	8665.09	Bminus
25	22	47	Ti	-44937.364	8661.227	Stable
24	23	47	V 	-42006.618	8582.225	Bplus
23	24	47	Cr	-34562.578	8407.195	Bplus
22	25	47	Mn	-22566.374	8135.311	Bplus
21	26	47	Fe	-6870	7785	Bplus
20	27	47	Co	10370	7401	x
32	16	48	S 	12761	7545	Bminus
31	17	48	Cl	-4280	7883	Bminus
30	18	48	Ar	-22281.337	8242.132	Bminus
29	19	48	K 	-32284.477	8434.232	Bminus
28	20	48	Ca	-44224.629	8666.686	Stable
27	21	48	Sc	-44503.842	8656.204	Bminus
26	22	48	Ti	-48492.709	8723.006	Stable
25	23	48	V 	-44477.694	8623.061	Bplus
24	24	48	Cr	-42822.02	8572.269	Bplus
23	25	48	Mn	-29296.338	8274.185	Bplus
22	26	48	Fe	-18000	8023	Bplus
21	27	48	Co	1500	7600	x
20	28	48	Ni	16793	7265	P
33	16	49	S 	21093	7385	N
32	17	49	Cl	940	7781	Bminus
31	18	49	Ar	-17190	8135	Bminus
30	19	49	K 	-29611.49	8372.274	Bminus
29	20	49	Ca	-41299.765	8594.844	Bminus
28	21	49	Sc	-46561.265	8686.256	Bminus
27	22	49	Ti	-48563.787	8711.157	Stable
26	23	49	V 	-47961.931	8682.908	Bplus
25	24	49	Cr	-45333.06	8613.291	Bplus
24	25	49	Mn	-37620.634	8439.929	Bplus
23	26	49	Fe	-24750.727	8161.311	Bplus
22	27	49	Co	-9880	7842	x
21	28	49	Ni	8200	7457	Bplus
33	17	50	Cl	7740	7651	Bminus
32	18	50	Ar	-13330	8056	Bminus
31	19	50	K 	-25727.848	8288.582	Bminus
30	20	50	Ca	-39589.224	8550.163	Bminus
29	21	50	Sc	-44547.382	8633.679	Bminus
28	22	50	Ti	-51431.66	8755.718	Stable
27	23	50	V 	-49224.013	8695.918	Stable
26	24	50	Cr	-50262.072	8701.032	Stable
25	25	50	Mn	-42627.595	8532.696	Bplus
24	26	50	Fe	-34476.456	8354.026	Bplus
23	27	50	Co	-17630	8001	Bplus
22	28	50	Ni	-4120	7716	Bplus
34	17	51	Cl	14290	7530	Bminus
33	18	51	Ar	-6690	7926	Bminus
32	19	51	K 	-22516.196	8221.349	Bminus
31	20	51	Ca	-36332.304	8476.913	Bminus
30	21	51	Sc	-43228.684	8596.796	Bminus
29	22	51	Ti	-49732.837	8708.988	Bminus
28	23	51	V 	-52203.842	8742.099	Stable
27	24	51	Cr	-51451.395	8712.005	Bplus
26	25	51	Mn	-48243.877	8633.772	Bplus
25	26	51	Fe	-40202.555	8460.759	Bplus
24	27	51	Co	-27342.143	8193.254	Bplus
23	28	51	Ni	-11900	7875	Bplus
34	18	52	Ar	-1280	7825	Bminus
33	19	52	K 	-17137.627	8115.029	Bminus
32	20	52	Ca	-34266.266	8429.381	Bminus
31	21	52	Sc	-40443.279	8533.125	Bminus
30	22	52	Ti	-49469.82	8691.667	Bminus
29	23	52	V 	-51443.769	8714.582	Bminus
28	24	52	Cr	-55419.242	8775.989	Stable
27	25	52	Mn	-50707.284	8670.329	Bplus
26	26	52	Fe	-48330.363	8609.574	Bplus
25	27	52	Co	-34360.951	8325.886	Bplus
24	28	52	Ni	-22330	8079	Bplus
23	29	52	Cu	-2280	7679	P
35	18	53	Ar	6791	7677	Bminus
34	19	53	K 	-12295.721	8022.848	Bminus
33	20	53	Ca	-29387.704	8330.577	Bminus
32	21	53	Sc	-38906.808	8495.421	Bminus
31	22	53	Ti	-46831.061	8630.174	Bminus
30	23	53	V 	-51851.061	8710.13	Bminus
29	24	53	Cr	-55286.999	8760.198	Stable
28	25	53	Mn	-54690.116	8734.175	Bplus
27	26	53	Fe	-50947.53	8648.799	Bplus
26	27	53	Co	-42659.428	8477.658	Bplus
25	28	53	Ni	-29630.824	8217.074	Bplus
24	29	53	Cu	-13270	7894	P
35	19	54	K 	-5002	7889	Bminus
34	20	54	Ca	-25160.585	8247.496	Bminus
33	21	54	Sc	-33890.9	8394.681	Bminus
32	22	54	Ti	-45621.981	8597.435	Bminus
31	23	54	V 	-49893.173	8662.043	Bminus
30	24	54	Cr	-56934.765	8777.955	Stable
29	25	54	Mn	-55557.629	8737.965	Bminus
28	26	54	Fe	-56254.5	8736.382	Stable
27	27	54	Co	-48009.953	8569.217	Bplus
26	28	54	Ni	-39278.308	8393.032	Bplus
25	29	54	Cu	-21410	8048	P
24	30	54	Zn	-6272	7753	P
36	19	55	K 	708	7788	Bminus
35	20	55	Ca	-18350	8120	Bminus
34	21	55	Sc	-30159.352	8320.955	Bminus
33	22	55	Ti	-41668.088	8515.98	Bminus
32	23	55	V 	-49144.586	8637.692	Bminus
31	24	55	Cr	-55109.71	8731.924	Bminus
30	25	55	Mn	-57712.413	8765.022	Stable
29	26	55	Fe	-57481.3	8746.595	Bplus
28	27	55	Co	-54029.883	8669.618	Bplus
27	28	55	Ni	-45335.849	8497.32	Bplus
26	29	55	Cu	-31635.399	8233.996	Bplus
25	30	55	Zn	-14570	7909	Bplus
37	19	56	K 	7927	7664	Bminus
36	20	56	Ca	-13898	8040	Bminus
35	21	56	Sc	-24852.26	8221.728	Bminus
34	22	56	Ti	-39320.048	8466.11	Bminus
33	23	56	V 	-46154.881	8574.191	Bminus
32	24	56	Cr	-55285.001	8723.258	Bminus
31	25	56	Mn	-56911.538	8738.333	Bminus
30	26	56	Fe	-60607.082	8790.354	Stable
29	27	56	Co	-56040.402	8694.836	Bplus
28	28	56	Ni	-53907.539	8642.779	Bplus
27	29	56	Cu	-38643.029	8356.227	Bplus
26	30	56	Zn	-25390	8106	Bplus
25	31	56	Ga	-3390	7699	P
37	20	57	Ca	-6874	7917	Bminus
36	21	57	Sc	-20995.875	8151.433	Bminus
35	22	57	Ti	-33915.633	8364.37	Bminus
34	23	57	V 	-44413.45	8534.817	Bminus
33	24	57	Cr	-52524.702	8663.394	Bminus
32	25	57	Mn	-57486.251	8736.713	Bminus
31	26	57	Fe	-60181.839	8770.279	Stable
30	27	57	Co	-59345.564	8741.882	Bplus
29	28	57	Ni	-56083.833	8670.933	Bplus
28	29	57	Cu	-47308.886	8503.262	Bplus
27	30	57	Zn	-32550	8231	Bplus
26	31	57	Ga	-15010	7909	P
38	20	58	Ca	-1919	7835	Bminus
37	21	58	Sc	-14876	8045	Bminus
36	22	58	Ti	-31110	8311	Bminus
35	23	58	V 	-40401.753	8457.658	Bminus
34	24	58	Cr	-51991.801	8643.998	Bminus
33	25	58	Mn	-55827.56	8696.643	Bminus
32	26	58	Fe	-62155.113	8792.25	Stable
31	27	58	Co	-59847.158	8738.969	Bminus
30	28	58	Ni	-60228.744	8732.059	Stable
29	29	58	Cu	-51667.725	8570.967	Bplus
28	30	58	Zn	-42298.744	8395.944	Bplus
27	31	58	Ga	-23540	8059	P
26	32	58	Ge	-7080	7762	P
38	21	59	Sc	-10302	7967	Bminus
37	22	59	Ti	-25510	8212	Bminus
36	23	59	V 	-37832.015	8407.555	Bminus
35	24	59	Cr	-48085.76	8568.087	Bminus
34	25	59	Mn	-55525.32	8680.921	Bminus
33	26	59	Fe	-60664.805	8754.771	Bminus
32	27	59	Co	-62229.709	8768.035	Stable
31	28	59	Ni	-61156.707	8736.588	Bplus
30	29	59	Cu	-56358.327	8642	Bplus
29	30	59	Zn	-47215.551	8473.777	Bplus
28	31	59	Ga	-33760	8232	P
27	32	59	Ge	-15870	7916	Bplus
39	21	60	Sc	-4052	7865	Bminus
38	22	60	Ti	-22330	8157	Bminus
37	23	60	V 	-33241.956	8325.45	Bminus
36	24	60	Cr	-46669.576	8536.205	Bminus
35	25	60	Mn	-52967.938	8628.138	Bminus
34	26	60	Fe	-61413.017	8755.851	Bminus
33	27	60	Co	-61650.309	8746.766	Bminus
32	28	60	Ni	-64473.118	8780.774	Stable
31	29	60	Cu	-58345.137	8665.602	Bplus
30	30	60	Zn	-54174.34	8583.05	Bplus
29	31	60	Ga	-39590	8327	Bplus
28	32	60	Ge	-27090	8106	Bplus
27	33	60	As	-5470	7732	P
40	21	61	Sc	931	7787	Bminus
39	22	61	Ti	-16350	8057	Bminus
38	23	61	V 	-30506.429	8276.439	Bminus
37	24	61	Cr	-42475.229	8459.824	Bminus
36	25	61	Mn	-51742.122	8598.915	Bminus
35	26	61	Fe	-58920.494	8703.768	Bminus
34	27	61	Co	-62898.066	8756.148	Bminus
33	28	61	Ni	-64221.905	8765.025	Stable
32	29	61	Cu	-61984.059	8715.514	Bplus
31	30	61	Zn	-56348.903	8610.309	Bplus
30	31	61	Ga	-47134.659	8446.431	Bplus
29	32	61	Ge	-33360	8208	Bplus
28	33	61	As	-16900	7925	P
40	22	62	Ti	-12500	7995	Bminus
39	23	62	V 	-25476	8192	Bminus
38	24	62	Cr	-40894.961	8428.069	Bminus
37	25	62	Mn	-48523.957	8538.499	Bminus
36	26	62	Fe	-58878.048	8692.882	Bminus
35	27	62	Co	-61424.282	8721.332	Bminus
34	28	62	Ni	-66746.323	8794.553	Stable
33	29	62	Cu	-62787.426	8718.081	Bplus
32	30	62	Zn	-61167.972	8679.343	Bplus
31	31	62	Ga	-51986.906	8518.642	Bplus
30	32	62	Ge	-41740	8341	Bplus
29	33	62	As	-24320	8047	P
41	22	63	Ti	-5750	7889	Bminus
40	23	63	V 	-21890	8133	Bminus
39	24	63	Cr	-36007.474	8344.828	Bminus
38	25	63	Mn	-46887.053	8505.101	Bminus
37	26	63	Fe	-55635.621	8631.549	Bminus
36	27	63	Co	-61851.44	8717.795	Bminus
35	28	63	Ni	-65512.775	8763.493	Bminus
34	29	63	Cu	-65579.752	8752.138	Stable
33	30	63	Zn	-62213.397	8686.285	Bplus
32	31	63	Ga	-56547.093	8583.926	Bplus
31	32	63	Ge	-46921.216	8418.716	Bplus
30	33	63	As	-33500	8193	P
42	22	64	Ti	-1025	7818	Bminus
41	23	64	V 	-16320	8045	Bminus
40	24	64	Cr	-33479.757	8301.058	Bminus
39	25	64	Mn	-42989.035	8437.417	Bminus
